timestamp,service,event,username,ip
Jun 14 15:16:01,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,,218.188.2.4
Jun 14 15:16:02,sshd(pam_unix),check pass; user unknown,,
Jun 14 15:16:02,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,,218.188.2.4
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 02:04:59,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,root,220
Jun 15 04:06:18,su(pam_unix),session opened for user cyrus by (uid=0),cyrus,
Jun 15 04:06:19,su(pam_unix),session closed for user cyrus,cyrus,
Jun 15 04:12:42,su(pam_unix),session opened for user news by (uid=0),news,
Jun 15 04:12:43,su(pam_unix),session closed for user news,news,
Jun 15 12:12:34,sshd(pam_unix),check pass; user unknown,,
Jun 15 12:12:34,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,,218.188.2.4
Jun 15 12:12:34,sshd(pam_unix),check pass; user unknown,,
Jun 15 12:12:34,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,,218.188.2.4
Jun 15 12:12:34,sshd(pam_unix),check pass; user unknown,,
Jun 15 12:12:34,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,,218.188.2.4
Jun 15 12:12:34,sshd(pam_unix),check pass; user unknown,,
Jun 15 12:12:34,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,,218.188.2.4
Jun 15 12:12:34,sshd(pam_unix),check pass; user unknown,,
Jun 15 12:12:34,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,,218.188.2.4
Jun 15 12:12:34,sshd(pam_unix),check pass; user unknown,,
Jun 15 12:12:34,sshd(pam_unix),check pass; user unknown,,
Jun 15 12:12:34,sshd(pam_unix),check pass; user unknown,,
Jun 15 12:12:34,sshd(pam_unix),authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,,218.188.2.4
Jun 15 12:12:34,sshd(pam_unix),check pass; user unknown,,
